# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08045788	thumb	GetNumLevelsGainedFromSteps
0x080457B4	thumb	GetNumLevelsGainedForDaycareMon
0x080457E8	thumb	GetDaycareCostForSelectedMon
0x08045820	thumb	GetDaycareCostForMon
0x08045838	thumb	GetDaycareCost
0x08045860	thumb	Debug_AddDaycareSteps
0x08045898	thumb	GetNumLevelsGainedFromDaycare
0x080458E8	thumb	ClearDaycareMonMail
0x08045918	thumb	ClearDaycareMon
0x08045938	thumb	ClearAllDaycareData
0x08045970	thumb	GetEggSpecies
0x080459F0	thumb	_TriggerPendingDaycareEgg
0x08045A20	thumb	_TriggerPendingDaycareMaleEgg
0x08045A48	thumb	TriggerPendingDaycareEgg
0x08045A60	thumb	TriggerPendingDaycareMaleEgg
0x08045A78	thumb	RemoveIVIndexFromList
0x08045AC0	thumb	InheritIVs
0x08045C28	thumb	GetEggMoves
0x08045CD0	thumb	BuildEggMoveset
0x08045F70	thumb	RemoveEggFromDayCare
0x08045F88	thumb	RejectEggFromDayCare
0x08045FA0	thumb	AlterEggSpeciesWithIncenseItem
0x08046000	thumb	DetermineEggSpeciesAndParentSlots
0x080460D4	thumb	_GiveEggFromDaycare
0x08046150	thumb	CreateEgg
0x08046208	thumb	SetInitialEggData
0x080462AC	thumb	GiveEggFromDaycare
0x080462C4	thumb	TryProduceOrHatchEgg
0x080463B8	thumb	ShouldEggHatch
0x080463FC	thumb	IsEggPending
0x0804640C	thumb	_GetDaycareMonNicknames
0x08046460	thumb	GetSelectedMonNicknameAndSpecies
0x0804649C	thumb	GetDaycareMonNicknames
0x080464B4	thumb	GetDaycareState
0x080464F8	thumb	GetDaycarePokemonCount
0x0804651C	thumb	EggGroupsOverlap
0x0804654C	thumb	GetDaycareCompatibilityScore
0x0804666C	thumb	GetDaycareCompatibilityScoreFromSave
0x08046688	thumb	SetDaycareCompatibilityString
0x080466C8	thumb	NameHasGenderSymbol
0x08046744	thumb	AppendGenderSymbol
0x08046794	thumb	AppendMonGenderSymbol
0x080467B0	thumb	GetDaycareLevelMenuText
0x08046834	thumb	GetDaycareLevelMenuLevelText
0x08046898	thumb	DaycareAddTextPrinter
0x0804690C	thumb	DaycarePrintMonNickname
0x08046944	thumb	DaycarePrintMonLvl
0x080469B4	thumb	DaycarePrintMonInfo
0x080469FC	thumb	Task_HandleDaycareLevelMenuInput
0x08046AB8	thumb	ShowDaycareLevelMenu
0x08046B28	thumb	ChooseSendDaycareMon
0x08046B40	thumb	PutMonInRoute5Daycare
0x08046B70	thumb	GetCostToWithdrawRoute5DaycareMon
0x08046B94	thumb	IsThereMonInRoute5Daycare
0x08046BBC	thumb	GetNumLevelsGainedForRoute5DaycareMon
0x08046BDC	thumb	TakePokemonFromRoute5Daycare
0x08046BFC	thumb	CreatedHatchedMon
0x08046D60	thumb	AddHatchedMonToParty
0x08046E20	thumb	ScriptHatchMon
0x08046E34	thumb	BufferDayCareMonReceivedMail
0x08046EAC	thumb	DaycareMonReceivedMail
0x08046ED0	thumb	EggHatchCreateMonSprite
0x08046FC0	thumb	VBlankCB_EggHatch
0x08046FD4	thumb	EggHatch
0x08047004	thumb	Task_EggHatch
0x08047044	thumb	CB2_EggHatch_0
0x080472A0	thumb	EggHatchSetMonNickname
0x080472E4	thumb	Task_EggHatchPlayBGM
0x08047338	thumb	CB2_EggHatch_1
0x080476B0	thumb	SpriteCB_Egg_0
0x08047708	thumb	SpriteCB_Egg_1
0x0804776C	thumb	SpriteCB_Egg_2
0x0804782C	thumb	SpriteCB_Egg_3
0x08047850	thumb	SpriteCB_Egg_4
0x080478D0	thumb	SpriteCB_Egg_5
0x08047970	thumb	SpriteCB_EggShard
0x080479C8	thumb	CreateRandomEggShardSprite
0x08047A1C	thumb	CreateEggShardSprite
0x08047A9C	thumb	EggHatchPrintMessage
0x08047B0C	thumb	Debug_DrawNumber
0x08047CAC	thumb	Debug_DrawNumberPair
0x08047CE0	thumb	CreateBattlerHealthboxSprites
0x08048008	thumb	CreateSafariPlayerHealthboxSprites
0x080480A8	thumb	GetBattleInterfaceGfxPtr
0x080480B8	thumb	SpriteCB_HealthBar
0x08048128	thumb	SpriteCB_HealthBoxOther
0x08048150	thumb	SetBattleBarStruct
0x08048188	thumb	SetHealthboxSpriteInvisible
0x080481D4	thumb	SetHealthboxSpriteVisible
0x08048228	thumb	UpdateSpritePos
0x08048248	thumb	DestoryHealthboxSprite
0x08048288	thumb	DummyBattleInterfaceFunc
0x0804828C	thumb	UpdateOamPriorityInAllHealthboxes
0x0804831C	thumb	InitBattlerHealthboxCoords
0x08048398	thumb	UpdateLvlInHealthbox
0x08048440	thumb	UpdateHpTextInHealthbox
0x08048618	thumb	UpdateHpTextInHealthboxInDoubles
0x080487F8	thumb	PrintSafariMonInfo
0x08048A4C	thumb	SwapHpBarsWithHpText
0x08048D14	thumb	CreatePartyStatusSummarySprites
0x080491B0	thumb	Task_HidePartyStatusSummary
0x08049388	thumb	Task_HidePartyStatusSummary_BattleStart_1
0x080493E4	thumb	Task_HidePartyStatusSummary_BattleStart_2
0x0804948C	thumb	Task_HidePartyStatusSummary_DuringBattle
0x08049550	thumb	SpriteCB_PartySummaryBar
0x08049568	thumb	SpriteCB_PartySummaryBar_Exit
0x0804959C	thumb	SpriteCB_PartySummaryBall_OnBattleStart
0x08049630	thumb	SpriteCB_PartySummaryBall_Exit
0x080496A0	thumb	SpriteCB_PartySummaryBall_OnSwitchout
0x080496C0	thumb	UpdateNickInHealthbox
0x0804981C	thumb	TryAddPokeballIconToHealthbox
0x08049934	thumb	UpdateStatusIconInHealthbox
0x08049BE4	thumb	GetStatusIconForBattlerId
0x08049CAC	thumb	UpdateSafariBallsTextOnHealthbox
0x08049D10	thumb	UpdateLeftNoOfBallsTextOnHealthbox
0x08049D98	thumb	UpdateHealthboxAttribute
0x08049FD8	thumb	MoveBattleBar
0x0804A0D4	thumb	MoveBattleBarGraphically
0x0804A2F0	thumb	CalcNewBarValue
0x0804A3C4	thumb	CalcBarFilledPixels
0x0804A460	thumb	UpdateAndDrawHealthbarOntoScreen
0x0804A4C8	thumb	CalcNewHealthbarValue
0x0804A4F0	thumb	DoDrawHealthbarOntoScreen
0x0804A510	thumb	DrawHealthbarOntoScreen
0x0804A59C	thumb	GetReceivedValueInPixels
0x0804A5E8	thumb	GetScaledHPFraction
0x0804A614	thumb	GetHPBarLevel
0x0804A648	thumb	AddTextPrinterAndCreateWindowOnHealthbox
0x0804A6D8	thumb	RemoveWindowOnHealthbox
0x0804A6E8	thumb	TextIntoHealthboxObject
0x0804A734	thumb	SafariTextIntoHealthboxObject
0x0804A76C	thumb	SmokescreenImpact
0x0804A8C0	thumb	SpriteCB_SmokescreenImpactMain
0x0804A904	thumb	SpriteCB_SmokescreenImpact
0x0804A938	thumb	DoPokeballSendOutAnimation
0x0804A9A0	thumb	Task_DoPokeballSendOutAnim
0x0804ABD4	thumb	SpriteCB_BallThrow
0x0804AC88	thumb	SpriteCB_BallThrow_ReachMon
0x0804AC94	thumb	SpriteCB_BallThrow_StartShrinkMon
0x0804AD00	thumb	SpriteCB_BallThrow_ShrinkMon
0x0804AD98	thumb	SpriteCB_BallThrow_Close
0x0804ADEC	thumb	SpriteCB_BallThrow_FallToGround
0x0804AEE4	thumb	SpriteCB_BallThrow_StartShakes
0x0804AF24	thumb	SpriteCB_BallThrow_Shake
0x0804B070	thumb	Task_PlayCryWhenReleasedFromBall
0x0804B268	thumb	SpriteCB_ReleaseMonFromBall
0x0804B484	thumb	SpriteCB_BallThrow_StartCaptureMon
0x0804B4A4	thumb	HandleBallAnimEnd
0x0804B5C8	thumb	SpriteCB_BallThrow_CaptureMon
0x0804B684	thumb	SpriteCB_PlayerMonSendOut_1
0x0804B6D4	thumb	SpriteCB_PlayerMonSendOut_2
0x0804B844	thumb	SpriteCB_ReleaseMon2FromBall
0x0804B868	thumb	SpriteCB_OpponentMonSendOut
0x0804B8C8	thumb	AnimateBallOpenParticlesForPokeball
0x0804B8F0	thumb	LaunchBallFadeMonTaskForPokeball
0x0804B908	thumb	CreatePokeballSpriteToReleaseMon
0x0804B9E8	thumb	SpriteCB_PokeballReleaseMon
0x0804BAA4	thumb	SpriteCB_ReleasedMonFlyOut
0x0804BB98	thumb	CreateTradePokeballSprite
0x0804BC50	thumb	SpriteCB_TradePokeball
0x0804BCF8	thumb	SpriteCB_TradePokeballSendOff
0x0804BD6C	thumb	SpriteCB_TradePokeballEnd
0x0804BD88	thumb	DestroySpriteAndFreeResources_Ball
0x0804BD94	thumb	StartHealthboxSlideIn
0x0804BE24	thumb	SpriteCB_HealthboxSlideInDelayed
0x0804BE48	thumb	SpriteCB_HealthboxSlideIn
0x0804BE70	thumb	DoHitAnimHealthboxEffect
0x0804BEB4	thumb	SpriteCB_HitAnimHealthoxEffect
0x0804BEF4	thumb	LoadBallGfx
0x0804BF64	thumb	FreeBallGfx
0x0804BF90	thumb	GetBattlerPokeballItemId
0x0804BFE4	thumb	CheckForFlashMemory
0x0804C010	thumb	ClearSav2
0x0804C034	thumb	ClearSav1
0x0804C058	thumb	SetSaveBlocksPointers
0x0804C0A4	thumb	MoveSaveBlocks_ResetHeap
0x0804C188	thumb	UseContinueGameWarp
0x0804C198	thumb	ClearContinueGameWarpStatus
0x0804C1AC	thumb	SetContinueGameWarpStatus
0x0804C1C0	thumb	SetContinueGameWarpStatusToDynamicWarp
0x0804C1DC	thumb	ClearContinueGameWarpStatus2
0x0804C1F0	thumb	SavePlayerParty
0x0804C230	thumb	LoadPlayerParty
0x0804C270	thumb	SaveObjectEvents
0x0804C2B8	thumb	LoadObjectEvents
0x0804C300	thumb	SaveSerializedGame
0x0804C310	thumb	LoadSerializedGame
0x0804C320	thumb	LoadPlayerBag
0x0804C440	thumb	SavePlayerBag
0x0804C56C	thumb	ApplyNewEncryptionKeyToHword
0x0804C588	thumb	ApplyNewEncryptionKeyToWord
0x0804C5A4	thumb	ApplyNewEncryptionKeyToAllEncryptedData
0x0804C600	thumb	InitTradeMenu
0x0804C718	thumb	CB2_StartCreateTradeMenu
0x0804C728	thumb	CB2_CreateTradeMenu
0x0804CF14	thumb	CB2_ReturnToTradeMenuFromSummary
0x0804D4F8	thumb	VBlankCB_TradeMenu
0x0804D50C	thumb	CB_FadeToStartTrade
0x0804D548	thumb	CB_WaitToStartTrade
0x0804D5A4	thumb	CB_StartLinkTrade
0x0804D638	thumb	CB2_TradeMenu
0x0804D694	thumb	LoadTradeBgGfx
0x0804D764	thumb	SetActiveMenuOptions
0x0804D814	thumb	Trade_Memcpy
0x0804D834	thumb	BufferTradeParties
0x0804DBAC	thumb	PrintIsThisTradeOkay
0x0804DBD4	thumb	Leader_ReadLinkBuffer
0x0804DCF4	thumb	Follower_ReadLinkBuffer
0x0804DDF0	thumb	Leader_HandleCommunication
0x0804DFF0	thumb	CB1_UpdateLink
0x0804E028	thumb	GetNewCursorPosition
0x0804E074	thumb	TradeMenuMoveCursor
0x0804E134	thumb	SetReadyToTrade
0x0804E194	thumb	CB_ProcessMenuInput
0x0804E330	thumb	RedrawChooseAPokemonWindow
0x0804E388	thumb	CB_ProcessSelectedMonInput
0x0804E46C	thumb	CB_ChooseMonAfterButtonPress
0x0804E494	thumb	CB_ShowTradeMonSummaryScreen
0x0804E50C	thumb	CheckValidityOfTradeMons
0x0804E5A0	thumb	CommunicateWhetherMonCanBeTraded
0x0804E674	thumb	CB_ProcessConfirmTradeInput
0x0804E6FC	thumb	RestoreNicknamesCoveredByYesNo
0x0804E744	thumb	CB_ProcessCancelTradeInput
0x0804E7C8	thumb	CB_SetSelectedMons
0x0804E804	thumb	CB_PrintIsThisTradeOkay
0x0804E830	thumb	CB_InitConfirmTradePrompt
0x0804E880	thumb	CB_HandleTradeCanceled
0x0804E908	thumb	CB_InitExitCanceledTrade
0x0804E944	thumb	CB_ExitCanceledTrade
0x0804E9C0	thumb	CB_WaitToStartRfuTrade
0x0804E9E4	thumb	RunTradeMenuCallback
0x0804EAAC	thumb	SetSelectedMon
0x0804EAE4	thumb	DrawSelectedMonScreen
0x0804EE6C	thumb	GetMonNicknameWidth
0x0804EED4	thumb	BufferMovesString
0x0804EFB4	thumb	PrintPartyMonNickname
0x0804F020	thumb	PrintPartyNicknames
0x0804F08C	thumb	PrintLevelAndGender
0x0804F284	thumb	PrintPartyLevelsAndGenders
0x0804F2E8	thumb	ShowTradePartyMonIcons
0x0804F3B4	thumb	PrintTradePartnerPartyNicknames
0x0804F3C8	thumb	RedrawPartyWindow
0x0804F440	thumb	Task_DrawSelectionSummary
0x0804F464	thumb	Task_DrawSelectionTrade
0x0804F488	thumb	QueueAction
0x0804F4DC	thumb	DoQueuedActions
0x0804F5BC	thumb	PrintTradeMessage
0x0804F610	thumb	LoadUISpriteGfx
0x0804F728	thumb	DrawBottomRowText
0x0804F748	thumb	ComputePartyTradeableFlags
0x0804F890	thumb	ComputePartyHPBarLevels
0x0804F964	thumb	SetTradePartyHPBarSprites
0x0804F9D8	thumb	SaveTradeGiftRibbons
0x0804FA14	thumb	CanTradeSelectedMon
0x0804FB34	thumb	GetGameProgressForLinkTrade
0x0804FBC8	thumb	IsDeoxysOrMewUntradable
0x0804FBEC	thumb	GetUnionRoomTradeMessageId
0x0804FCE0	thumb	CanRegisterMonForTradingBoard
0x0804FD24	thumb	SpriteCB_LinkMonGlow
0x0804FD48	thumb	SpriteCB_LinkMonGlowWireless
0x0804FD78	thumb	SpriteCB_LinkMonShadow
0x0804FDB8	thumb	SpriteCB_CableEndSending
0x0804FDDC	thumb	SpriteCB_CableEndReceiving
0x0804FE00	thumb	SpriteCB_GbaScreen
0x0804FE24	thumb	SetTradeBGAffine
0x0804FEB4	thumb	SetTradeGpuRegs
0x0804FF0C	thumb	VBlankCB_TradeAnim
0x0804FF24	thumb	ClearLinkTimeoutTimer
0x0804FF4C	thumb	CheckLinkTimeout
0x0804FFC4	thumb	TradeGetMultiplayerId
0x0804FFE4	thumb	LoadTradeMonPic
0x08050138	thumb	CB2_LinkTrade
0x0805049C	thumb	InitTradeSequenceBgGpuRegs
0x080504B0	thumb	LinkTradeDrawWindow
0x080504CC	thumb	TradeAnimInit_LoadGfx
0x080505CC	thumb	CB2_InitInGameTrade
0x080507A0	thumb	UpdatePokedexForReceivedMon
0x08050800	thumb	TryEnableNationalDexFromLinkPartner
0x0805080C	thumb	TradeMons
0x080508F4	thumb	HandleLinkDataSend
0x08050948	thumb	CB2_InGameTrade
0x08050968	thumb	SetTradeSequenceBgGpuRegs
0x08050DE0	thumb	LoadTradeGbaSpriteGfx
0x08050E24	thumb	TradeBufferOTnameAndNicknames
0x08050F14	thumb	DoTradeAnim
0x08050F3C	thumb	DoTradeAnim_Cable
0x0805232C	thumb	DoTradeAnim_Wireless
0x08053788	thumb	CB2_TryLinkTradeEvolution
0x0805383C	thumb	HandleLinkDataReceive
0x080538BC	thumb	SpriteCB_BouncingPokeball
0x08053938	thumb	SpriteCB_BouncingPokeballDepart
0x080539AC	thumb	SpriteCB_BouncingPokeballDepartEnd
0x08053A0C	thumb	SpriteCB_BouncingPokeballArrive
0x08053A9C	thumb	GetInGameTradeSpeciesInfo
0x08053AE4	thumb	BufferInGameTradeMonName
0x08053B48	thumb	CreateInGameTradePokemonInternal
0x08053CD4	thumb	GetInGameTradeMail
0x08053D2C	thumb	GetTradeSpecies
0x08053D68	thumb	CreateInGameTradePokemon
0x08053D84	thumb	CB2_UpdateLinkTrade
0x08053E1C	thumb	CB2_WaitTradeComplete
0x08053E8C	thumb	CB2_SaveAndEndTrade
0x080543C4	thumb	CB2_FreeTradeAnim
0x08054440	thumb	DoInGameTradeScene
0x08054470	thumb	Task_InGameTrade
0x080544AC	thumb	CheckPartnersMonForRibbons
0x080544FC	thumb	LoadTradeAnimGfx
0x08054508	thumb	DrawTextOnTradeWindow
0x08054588	thumb	Task_AnimateWirelessSignal
0x0805465C	thumb	Task_OpenCenterWhiteColumn
0x08054734	thumb	Task_CloseCenterWhiteColumn
0x08054814	thumb	PlayTimeCounter_Reset
0x08054838	thumb	PlayTimeCounter_Start
0x08054860	thumb	PlayTimeCounter_Stop
0x0805486C	thumb	PlayTimeCounter_Update
0x080548D4	thumb	PlayTimeCounter_SetToMax
0x080548FC	thumb	SetTrainerId
0x0805490C	thumb	CopyTrainerId
0x08054928	thumb	InitPlayerTrainerId
0x08054954	thumb	SetDefaultOptions
0x080549AC	thumb	ClearPokedexFlags
0x080549D4	thumb	ClearBattleTower
0x080549F8	thumb	WarpToPlayersRoom
0x08054A18	thumb	Sav2_ClearSetDefault
0x08054A28	thumb	ResetMenuAndMonGlobals
0x08054A60	thumb	NewGameInitData
0x08054B70	thumb	ResetMiniGamesResults
0x08054BC8	thumb	DoWhiteOut
0x08054C04	thumb	ComputeWhiteOutMoneyLoss
0x08054C48	thumb	OverworldWhiteOutGetMoneyLoss
0x08054C70	thumb	CountBadgesForOverworldWhiteOutLossCalculation
0x08054CA0	thumb	Overworld_ResetStateAfterFly
0x08054D08	thumb	Overworld_ResetStateAfterTeleport
0x08054D70	thumb	Overworld_ResetStateAfterDigEscRope
0x08054DD8	thumb	Overworld_ResetStateAfterWhitingOut
0x08054E40	thumb	Overworld_ResetStateOnContinue
0x08054E68	thumb	ResetGameStats
0x08054E90	thumb	IncrementGameStat
0x08054EC4	thumb	GetGameStat
0x08054F00	thumb	SetGameStat
0x08054F38	thumb	ApplyNewEncryptionKeyToGameStats
0x08054F68	thumb	LoadObjEventTemplatesFromHeader
0x080550A8	thumb	LoadSaveblockObjEventScripts
0x080550D8	thumb	SetObjEventTemplateCoords
0x08055114	thumb	SetObjEventTemplateMovementType
0x08055148	thumb	InitMapView
0x08055170	thumb	GetMapLayout
0x08055198	thumb	ApplyCurrentWarp
0x080551DC	thumb	SetWarpData
0x080551FC	thumb	IsDummyWarp
0x08055238	thumb	Overworld_GetMapHeaderByGroupAndId
0x08055250	thumb	GetDestinationWarpMapHeader
0x08055274	thumb	LoadCurrentMapData
0x080552BC	thumb	LoadSaveblockMapHeader
0x080552FC	thumb	SetPlayerCoordsFromWarp
0x08055378	thumb	WarpIntoMap
0x0805538C	thumb	SetWarpDestination
0x080553C8	thumb	SetWarpDestinationToMapWarp
0x080553E8	thumb	SetDynamicWarp
0x0805541C	thumb	SetDynamicWarpWithCoords
0x08055454	thumb	SetWarpDestinationToDynamicWarp
0x0805546C	thumb	SetWarpDestinationToHealLocation
0x080554A4	thumb	SetWarpDestinationToLastHealLocation
0x080554BC	thumb	Overworld_SetWhiteoutRespawnPoint
0x080554CC	thumb	SetLastHealLocationWarp
0x0805550C	thumb	UpdateEscapeWarp
0x080555A0	thumb	SetEscapeWarp
0x080555E0	thumb	SetWarpDestinationToEscapeWarp
0x080555F8	thumb	SetFixedDiveWarp
0x08055634	thumb	SetWarpDestinationToDiveWarp
0x0805564C	thumb	SetFixedHoleWarp
0x08055688	thumb	SetWarpDestinationToFixedHoleWarp
0x080556E0	thumb	SetWarpDestinationToContinueGameWarp
0x080556F8	thumb	SetContinueGameWarp
0x08055738	thumb	SetContinueGameWarpToHealLocation
0x08055778	thumb	SetContinueGameWarpToDynamicWarp
0x0805578C	thumb	GetMapConnection
0x080557C4	thumb	SetDiveWarp
0x08055824	thumb	SetDiveWarpEmerge
0x08055844	thumb	SetDiveWarpDive
0x08055864	thumb	LoadMapFromCameraTransition
0x08055920	thumb	LoadMapFromWarp
0x080559A8	thumb	QL_LoadMapNormal
0x080559E4	thumb	ResetInitialPlayerAvatarState
0x080559F8	thumb	SetInitialPlayerAvatarStateWithDirection
0x08055A08	thumb	StoreInitialPlayerAvatarState
0x08055A6C	thumb	GetInitialPlayerAvatarState
0x08055ACC	thumb	GetAdjustedInitialTransitionFlags
0x08055B38	thumb	MetatileBehavior_IsSurfableInSeafoamIslands
0x08055B74	thumb	GetAdjustedInitialDirection
0x08055C74	thumb	GetCenterScreenMetatileBehavior
0x08055C9C	thumb	Overworld_IsBikingAllowed
0x08055CB8	thumb	SetDefaultFlashLevel
0x08055D08	thumb	SetFlashLevel
0x08055D30	thumb	Overworld_GetFlashLevel
0x08055D40	thumb	SetCurrentMapLayout
0x08055D5C	thumb	Overworld_SetWarpDestinationFromWarp
0x08055D6C	thumb	GetLocationMusic
0x08055D8C	thumb	GetCurrLocationDefaultMusic
0x08055DA4	thumb	GetWarpDestinationMusic
0x08055DB8	thumb	Overworld_ResetMapMusic
0x08055DC4	thumb	Overworld_PlaySpecialMapMusic
0x08055E78	thumb	Overworld_SetSavedMusic
0x08055E84	thumb	Overworld_ClearSavedMusic
0x08055E94	thumb	Overworld_TryMapConnectionMusicTransition
0x08055F1C	thumb	Overworld_ChangeMusicToDefault
0x08055F48	thumb	Overworld_ChangeMusicTo
0x08055F68	thumb	GetMapMusicFadeoutSpeed
0x08055F88	thumb	TryFadeOutOldMapMusic
0x08055FC4	thumb	BGMusicStopped
0x08055FD4	thumb	Overworld_FadeOutMapMusic
0x08055FE0	thumb	PlayAmbientCry
0x08056078	thumb	UpdateAmbientCry
0x0805610C	thumb	ChooseAmbientCrySpecies
0x08056124	thumb	Overworld_MusicCanOverrideMapMusic
0x08056158	thumb	GetMapTypeByGroupAndId
0x08056170	thumb	GetMapTypeByWarpData
0x08056188	thumb	GetCurrentMapType
0x080561A0	thumb	GetLastUsedWarpMapType
0x080561B4	thumb	GetLastUsedWarpMapSectionId
0x080561D8	thumb	IsMapTypeOutdoors
0x080561FC	thumb	Overworld_MapTypeAllowsTeleportAndFly
0x0805621C	thumb	IsMapTypeIndoors
0x08056238	thumb	GetSavedWarpRegionMapSectionId
0x08056260	thumb	GetCurrentRegionMapSectionId
0x08056288	thumb	GetCurrentMapBattleScene
0x080562B0	thumb	InitOverworldBgs
0x08056354	thumb	InitOverworldBgs_NoResetHeap
0x080563F0	thumb	CleanupOverworldWindowsAndTilemaps
0x08056420	thumb	ResetSafariZoneFlag_
0x0805642C	thumb	IsUpdateLinkStateCBActive
0x0805644C	thumb	DoCB1_Overworld
0x080564C8	thumb	DoCB1_Overworld_QuestLogPlayback
0x08056534	thumb	CB1_Overworld
0x08056578	thumb	OverworldBasic
0x080565A8	thumb	CB2_OverworldBasic
0x080565B4	thumb	CB2_Overworld
0x080565E0	thumb	SetMainCallback1
0x080565EC	thumb	RunFieldCallback
0x08056644	thumb	CB2_NewGame
0x080566A4	thumb	CB2_WhiteOut
0x0805671C	thumb	CB2_LoadMap
0x0805674C	thumb	CB2_LoadMap2
0x08056788	thumb	CB2_ReturnToFieldCableClub
0x080567AC	thumb	CB2_LoadMapOnReturnToFieldCableClub
0x080567DC	thumb	CB2_ReturnToField
0x08056808	thumb	CB2_ReturnToFieldLocal
0x0805682C	thumb	CB2_ReturnToFieldLink
0x08056854	thumb	CB2_ReturnToFieldFromMultiplayer
0x080568A8	thumb	CB2_ReturnToFieldWithOpenMenu
0x080568C4	thumb	CB2_ReturnToFieldContinueScript
0x080568E0	thumb	CB2_ReturnToFieldContinueScriptPlayMapMusic
0x080568FC	thumb	CB2_ReturnToFieldFromDiploma
0x08056918	thumb	FieldCB_ShowMapNameOnContinue
0x08056938	thumb	CB2_ContinueSavedGame
0x080569BC	thumb	FieldClearVBlankHBlankCallbacks
0x08056A04	thumb	SetFieldVBlankCallback
0x08056A14	thumb	VBlankCB_Field
0x08056A34	thumb	InitCurrentFlashLevelScanlineEffect
0x08056A5C	thumb	LoadMapInStepsLink
0x08056B78	thumb	LoadMapInStepsLocal
0x08056CD8	thumb	ReturnToFieldLocal
0x08056D44	thumb	ReturnToFieldLink
0x08056E5C	thumb	DoMapLoadLoop
0x08056E74	thumb	MoveSaveBlocks_ResetHeap_
0x08056E80	thumb	ResetScreenForMapLoad
0x08056F08	thumb	InitViewGraphics
0x08056F1C	thumb	InitOverworldGraphicsRegisters
0x08057024	thumb	ResumeMap
0x08057074	thumb	InitObjectEventsLink
0x0805709C	thumb	InitObjectEventsLocal
0x08057100	thumb	ReloadObjectsAndRunReturnToFieldMapScript
0x08057114	thumb	SetCameraToTrackPlayer
0x08057140	thumb	SetCameraToTrackGuestPlayer
0x0805715C	thumb	SetCameraToTrackGuestPlayer_2
0x08057178	thumb	OffsetCameraFocusByLinkPlayerId
0x080571A8	thumb	SpawnLinkPlayers
0x08057230	thumb	CreateLinkPlayerSprites
0x0805726C	thumb	CB2_SetUpOverworldForQLPlaybackWithWarpExit
0x080572A8	thumb	CB2_SetUpOverworldForQLPlayback
0x080572D8	thumb	CB2_LoadMapForQLPlayback
0x08057300	thumb	DoLoadMap_QLPlayback
0x08057314	thumb	LoadMap_QLPlayback
0x08057430	thumb	CB2_EnterFieldFromQuestLog
0x080574A4	thumb	Overworld_CreditsMainCB
0x080574EC	thumb	FieldCB2_Credits_WaitFade
0x0805750C	thumb	Overworld_DoScrollSceneForCredits
0x08057528	thumb	SetUpScrollSceneForCredits
0x08057650	thumb	MapLdr_Credits
0x08057748	thumb	CameraCB_CreditsPan
0x0805781C	thumb	Task_OvwldCredits_FadeOut
0x08057854	thumb	Task_OvwldCredits_WaitFade
0x08057884	thumb	CB1_UpdateLinkState
0x080578D8	thumb	ResetAllMultiplayerState
0x080578EC	thumb	ClearAllPlayerKeys
0x080578FC	thumb	SetKeyInterceptCallback
0x08057910	thumb	CheckRfuKeepAliveTimer
0x0805793C	thumb	ResetAllLinkStates
0x08057954	thumb	AreAllPlayersInLinkState
0x0805798C	thumb	IsAnyPlayerInLinkState
0x080579C4	thumb	HandleLinkPlayerKeyInput
0x08057BE4	thumb	UpdateAllLinkPlayers
0x08057C4C	thumb	UpdateHeldKeyCode
0x08057CB8	thumb	KeyInterCB_ReadButtons
0x08057D14	thumb	GetDirectionForDpadKey
0x08057D48	thumb	ResetPlayerHeldKeys
0x08057D5C	thumb	KeyInterCB_SelfIdle
0x08057D98	thumb	KeyInterCB_Idle
0x08057DA4	thumb	KeyInterCB_DeferToEventScript
0x08057DC8	thumb	KeyInterCB_DeferToRecvQueue
0x08057DEC	thumb	KeyInterCB_DeferToSendQueue
0x08057E10	thumb	KeyInterCB_DoNothingAndKeepAlive
0x08057E1C	thumb	KeyInterCB_Ready
0x08057E58	thumb	KeyInterCB_SetReady
0x08057E6C	thumb	KeyInterCB_SendNothing
0x08057E70	thumb	KeyInterCB_WaitForPlayersToExit
0x08057EA8	thumb	KeyInterCB_SendExitRoomKey
0x08057EBC	thumb	KeyInterCB_SendNothing_2
0x08057EC0	thumb	GetCableClubPartnersReady
0x08057F28	thumb	IsAnyPlayerExitingCableClub
0x08057F34	thumb	SetInCableClubSeat
0x08057F48	thumb	SetLinkWaitingForScript
0x08057F5C	thumb	QueueExitLinkRoomKey
0x08057F70	thumb	SetStartedCableClubActivity
0x08057F84	thumb	LoadCableClubPlayer
0x08057FEC	thumb	IsCableClubPlayerUnfrozen
0x08058004	thumb	CanCableClubPlayerPressStart
0x0805801C	thumb	TryGetTileEventScript
0x08058034	thumb	PlayerIsAtSouthExit
0x08058060	thumb	TryInteractWithPlayer
0x0805812C	thumb	GetDirectionForEventScript
0x080581BC	thumb	InitLinkPlayerQueueScript
0x080581C8	thumb	InitLinkRoomStartMenuScript
0x080581DC	thumb	RunInteractLocalPlayerScript
0x080581F8	thumb	CreateConfirmLeaveTradeRoomPrompt
0x08058214	thumb	InitMenuBasedScript
0x08058230	thumb	RunTerminateLinkScript
0x08058244	thumb	Overworld_LinkRecvQueueLengthMoreThan2
0x08058274	thumb	Overworld_RecvKeysFromLinkIsRunning
0x080582E0	thumb	Overworld_SendKeysToLinkIsRunning
0x08058318	thumb	IsSendingKeysOverCable
0x0805833C	thumb	GetLinkSendQueueLength
